Year,Day,H,M,S,Lat,Long,Magnitude,Comments,Date
1971,107,7,0,55,48,35,2.8,,Sat- 17\April\1971
1971,140,17,25,10,42,-24,2,,Thu- 20\May\1971
1971,192,13,24,45,43,-47,1.9,Or lat -42 long -60,Sun- 11\July\1971
1972,2,22,29,40,54,101,1.9,,Sun- 02\January\1972
1972,261,14,35,55,12,46,1,,Sun- 17\September\1972
1972,341,23,8,20,51,45,1.4,,Wed- 06\December\1972
1972,344,3,50,15,-20,-80,1.2,,Sat- 09\December\1972
1973,39,22,52,10,33,35,0.8,,Thu- 08\Febraury\1973
1973,72,7,56,30,-84,-134,3.2,,Tue- 13\March\1973
1973,171,20,22,0,-1,-71,2.2,,Wed- 20\June\1973
1973,274,3,58,0,-37,-29,1.1,,Mon- 01\October\1973
1974,54,21,16,50,36,-16,0.7,,Sat- 23\Febraury\1974
1974,86,9,11,0,-48,-106,1.6,,Wed- 27\March\1974
1974,109,13,35,15,-37,42,0.9,,Fri- 19\April\1974
1974,149,20,42,15,350,230,0.6,30 degrees from station 16 on east side of station,Wed- 29\May\1974
1974,192,0,46,30,21,88,2.7,,Thu- 11\July\1974
1975,3,1,42,0,29,-98,3.2,,Fri- 03\January\1975
1975,12,3,14,10,75,40,1.7,,Sun- 12\January\1975
1975,13,0,26,20,-2,-51,1.1,,Mon- 13\January\1975
1975,44,22,3,50,-19,-26,1.4,,Thu- 13\Febraury\1975
1975,127,6,37,5,-49,-45,1.3,,Wed- 07\May\1975
1975,147,23,29,0,3,-58,1.4,,Tue- 27\May\1975
1975,314,7,52,55,-8,64,1.8,,Mon- 10\November\1975
1976,4,11,18,55,50,30,1.8,,Sun- 04\January\1976
1976,12,8,18,5,38,44,1.1,,Mon- 12\January\1976
1976,66,10,12,40,50,-20,2.3,,Sat- 06\March\1976
1976,68,14,42,10,-19,-12,1.8,,Mon- 08\March\1976
1976,137,12,32,40,77,-10,1.5,,Sun- 16\May\1976
